v,Name,in TabArena v0.1,in data-foundry,Tags,# features,Comments to preprocessing,Source (Link to download),Source (Website),Original Source ,Original Source (Website),Source (Benchmark / Collection),# of appearances,Year,License,Reference,Free Comments,Potential issue,Required split,Problem Type,Usable Task Type,Given Task Type,Data Domain,Context Domain,Original Data State,samples,Use Case Comments,Uploaded to OpenML,# classes,Column 27
Lennart,Allstate_Claims_Severity,No,allstate_claims_severity,"Yes, No FS lit. reference, Sensitive features",131,,https://www.openml.org/d/42571,OpenML,https://www.kaggle.com/competitions/allstate-claims-severity,Kaggle,,0,2016,Public,https://www.kaggle.com/competitions/allstate-claims-severity,Predict amount of insurance claims.Data anonymized,Dominika: similar problem to the one with Otto - we don't have a permission to use the data as indicated by the competition rules.,Random (IID),Regression,Predictive ML,Predictive ML,Tabular,insurance,Table,188318,,Yes,,
Basti,Ancestry study,No,ancestry_study,"Yes, No FS lit. reference",105,https://github.com/CarolaHeinzel/BGA-Classification/blob/main/CrossValidation_Code/run_convert_excel_data.py,https://github.com/CarolaHeinzel/BGA-Classification/blob/main/datat/filtered_population_eur_update.xlsx,Github,https://pubmed.ncbi.nlm.nih.gov/36917866/,Other,Development and evaluations of the ancestry informative markers of the VISAGE Enhanced Tool for Appearance and Ancestry,1,2025,Public,,Chemical structure in MDL-SD format. ,"Domain knowledge, low #samples",Random (IID),Multiclass Classification,Predictive ML,Predictive ML,Tabular,"biology & life sciences, social science, Other",Table,635,,No,7.0,
"Andrej, Lennart",anneal,Yes,anneal,"Yes, No FS lit. reference",39,,https://www.openml.org/search?type=data&id=46906&sort=runs&status=active,OpenML,https://archive.ics.uci.edu/dataset/3/annealing,UCI,"TabArena, Comprehensive Decision Tree Models in Bioinformatics",2,2014,CC BY 4.0,https://doi.org/10.24432/C5RW2F,"Chemical, steel production. D: here more  on attributes",,Random (IID),Multiclass Classification,Predictive ML,Predictive ML,Tabular,chemistry & material science,Table,898,,Yes,5.0,
Lennart,APSFailure,Yes,aps_failure,"Yes, No FS lit. reference",171,,https://www.openml.org/search?type=data&status=active&id=46908,OpenML,https://archive.ics.uci.edu/dataset/414/ida2016challenge,UCI,TabArena,1,2017,CC BY 4.0,https://doi.org/10.24432/C5V60Q,D: 8% missing values,,Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,technology & internet,Table,76000,,Yes,2.0,
Lennart,Audiology,No,audiology_diagnosis,Yes,69,,https://www.openml.org/search?type=data&status=active&id=7,OpenML,https://archive.ics.uci.edu/dataset/7/audiology+original,UCI,"Correlation-based feature selection for machine learning, Comprehensive Decision Tree Models in Bioinformatics",2,1987,,,"D: here's the standardized version with column names. I don't know what some one of them mean, might be derived from other domain but hard to tell","Dominika: ""This database does NOT use a standard set of attributes per instance."" not tabular?; B: Seems to be legit medical data. D: fair. maybe we could use the standardized version? ",Random (IID),Multiclass Classification,Predictive ML,"Scientific Discovery, Predictive ML",Tabular,medical & healthcare,Table,199,,Yes,24.0,
Dominika,Automobile,No,automobile,Yes,25,Dominika: it's an ordinal regression task,https://www.openml.org/search?type=data&status=active&id=9,OpenML,https://archive.ics.uci.edu/dataset/10/automobile,UCI,"Comprehensive Decision Tree Models in Bioinformatics, Theoretical and empirical analysis of ReliefF and RReliefF",2,1987,CC BY 4.0,1985 Auto Imports Database,"Dominika: so it's framed as regression but actually only has 7 values for targets. It's ordinal classification:   ""1. symboling:                -3, -2, -1, 0, 1, 2, 3."" It's a risk value",,Random (IID),Ordinal Classification,Predictive ML,Predictive ML,Tabular,industry & manufacturing,Table,205,,Yes,7.0,
Dominika,Is-this-a-good-customer,Yes,bad_customer_detection,"Yes, No FS lit. reference, Sensitive features",14,,https://www.openml.org/d/46938,OpenML,https://www.kaggle.com/datasets/podsyp/is-this-a-good-customer,Kaggle,TabArena,1,2020,CC0: Public Domain,https://www.kaggle.com/datasets/podsyp/is-this-a-good-customer,,"Dominika: no indication of the data source. ""Bad customer"" as a target is a bit strange + not sure if basing that on e.g. sex or having children is ethically sound. ",Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,finance,Table,1723,,Yes,2.0,
Dominika,Bank_Customer_Churn_Dataset,Yes,bank_customer_churn,"Yes, Sensitive features",11,,https://www.openml.org/d/46911,OpenML,https://www.kaggle.com/datasets/gauravtopre/bank-customer-churn-dataset,Kaggle,TabArena,1,2020,Public,https://www.kaggle.com/datasets/gauravtopre/bank-customer-churn-dataset,,"Dominika: gender as a feature (not ok). ABC bank doesn't exist, there's no info on the source of the dataset so it might as well be synthetic",Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,finance,Table,10000,,Yes,2.0,
Basti,bank-marketing,Yes,bank_marketing,Yes,13,,https://www.openml.org/d/46910,OpenML,https://doi.org/10.24432/C5K306,UCI,"TabArena, Why do tree-based models still outperform deep learning on typical tabular data?, A Bayesian Framework for Learning Rule Sets for Interpretable Classification, Understanding global feature contributions with additive importance measures",4,2012,CC BY 4.0,https://doi.org/10.1016/j.dss.2014.03.001,,,Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,finance,Table,45211,,Yes,2.0,
Basti,bioresponse ,Yes,bioresponse,Yes,1777,,openml.org/d/46912,OpenML,https://www.kaggle.com/c/bioresponse,Kaggle,"TabArena, Benchmark for filter methods for feature selection in high-dimensional classification data",2,2012,Competition license,Kaggle / https://www.kaggle.com/c/bioresponse,"Data already normalized, no semantic meaning. Predict a biological response of molecules from their chemical properties",,Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,biology & life sciences,Table,3751,Seems like a good use case TBD,Yes,2.0,
Lennart,Body Fat,No,body_density_prediction,Yes,14,,https://www.kaggle.com/datasets/fedesoriano/body-fat-prediction-dataset/data,Kaggle,https://jse.amstat.org/v4n1/datasets.johnson.html,Other,Variable selection--a review and recommendations for the practicing statistician,1,1996,Public,,"D: Percentage of body fat, age, weight, height, and ten body circumference measurements (e.g., abdomen) are recorded for 252 men.  Body fat, a measure of health, is estimated through an underwater weighing technique.  Fitting body fat to the other measurements using multiple regression provides a convenient way of estimating body fat for men using only a scale and a measuring tape. https://jse.amstat.org/datasets/fat.dat.txt ","D: there are some mistakes in the dataset, we need to refet to the comments in the .txt file. B: Besides the mistakes, I think we are good",Random (IID),Regression,Predictive ML,"Scientific Discovery, Predictive ML",Tabular,medical & healthcare,Table,252,,No,,
Basti,Brazilian_houses,No,brasilian_houses,"Yes, No FS lit. reference",13,"IMO, this is an IID split, there is no time component and no entity requiring a group-based split",https://openml.org/d/42688 ,OpenML,https://www.kaggle.com/code/unanimad/brazilian-houses-to-rent,Kaggle,"Why do tree-based models still outperform deep learning on typical tabular data?, BEExAI: Benchmark to Evaluate Explainable AI",2,2020,Public domain,https://www.kaggle.com/rubenssjr/brasilian-houses-to-rent,,"D: collected with web crawler, not sure if it's a good task, there might be duplicates etc. B: Total duplicate rows: 358 (3.35% of dataset), I think it is fine",Random (IID),Regression,Predictive ML,Information Retrieval,Tabular,finance,Scraped Webpages,10692,,Yes,,
Basti,churn,Yes,churn,"Yes, No FS lit. reference",20,,openml.org/search?type=data&id=46915&sort=runs,OpenML,https://github.com/EpistasisLab/pmlb/tree/master/datasets/churn,Github,TabArena,1,2005,MIT License,https://doi.org/10.1198/jasa.2005.s61,sample telephony account churn data,"D: The github link referes to a book  that indeed uses some churn data and even cites the source. However, the UCI repo they cite is not accessible anymore.",Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,technology & internet,Table,5000,,Yes,2.0,
Dominika,Period Changer,No,clock_protein_period,"Yes, No FS lit. reference",1092,,,,https://archive.ics.uci.edu/dataset/729/period+changer-2,UCI,,0,2022,CC BY 4.0,https://doi.org/10.1038/s41598-021-97962-5,"Dataset includes 90 non-toxic molecules designed for functional domain of a core clock protein, CRY1, of which 27 molecules significantly lengthen the period of circadian rhythm and the rest, 63 molecules, are no changers","Comes from the same paper, uses similar data, but has a different Target compared to Toxicity dataset. We used Recursive Feature Elimination together with Extreme Gradient Boosting Classifier (XGBC) to get the best set of molecular descriptors for XGBC  -> I have no domain knowledge, I can't tell if this preprocessing is a problem and categoizes the dataset as artificial/handmade",Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,biology & life sciences,Table,90,,No,2.0,
Dominika,Toxicity,No,clock_protein_toxicity,"Yes, No FS lit. reference",1112,,https://www.openml.org/d/46855,OpenML,https://archive.ics.uci.edu/dataset/728/toxicity-2,UCI,,0,2022,CC BY 4.0,https://doi.org/10.1038/s41598-021-97962-5,"Dataset includes 171 molecules designed for functional domains of a core clock protein, CRY1, responsible for generating circadian rhythm. 56 of the molecules are toxic and the rest are non-toxic. D: The data consists a complete set of 1203 molecular descriptors and needs feature selection before classification since some of the features are redundant.","We used Recursive Feature Elimination together with Extreme Gradient Boosting Classifier (XGBC) to get the best set of molecular descriptors for XGBC -> I have no domain knowledge, I can't tell if this preprocessing is a problem and categoizes the dataset as artificial/handmade",Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,biology & life sciences,Table,171,,Yes,2.0,
Basti,Insurance Company Benchmark (COIL 2000),Yes,coil_2000_insurance_policies,"Yes, Sensitive features",85,,https://www.openml.org/search?type=data&id=46916&sort=runs&status=active,OpenML,http://archive.ics.uci.edu/dataset/125/insurance+company+benchmark+coil+2000,UCI,"TabArena, Efficient feature selection via analysis of relevance and redundancy, Feature Selection for High-Dimensional Data: A Fast Correlation-Based Filter Solution",3,2000,,https://liacs.leidenuniv.nl/~puttenpwhvander/library/cc2000/report2.html,,Dominika: many religion-related features. how is it informative of the insurance? ,Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,insurance,Table,9822,,Yes,2.0,
Dominika,Colon,No,colon_tumor,Yes,1992,"Dominika: ""The genes chosen are the 2,000 genes with highest minimal intensity across the samples.""- openml publishes the already filtered out data. It's unsupervised filtering so should be fine.",https://www.openml.org/d/45087,OpenML,https://pubmed.ncbi.nlm.nih.gov/10359783/,GOV Website,"Recent advances in feature selection and its applications, Feature Selection: A Data Perspective, Improving Mutual Information based Feature Selection by Boosting Unique Relevance, Robust feature selection using ensemble feature selection techniques, A review of feature selection methods on synthetic data, Conditional likelihood maximisation: a unifying framework for information theoretic feature selection, Hybrid method based on information gain and support vector machine for gene selection in cancer classification, Feature selection using Joint Mutual Information Maximisation",8,1999,Public,https://doi.org/10.1073/pnas.96.12.6745,Dominika: classes are prob normal and cancer cells. ,,Random (IID),Binary Classification,Predictive ML,Scientific Discovery,Tabular,medical & healthcare,Table,62,,Yes,2.0,
Lennart,Australian (credit screening),No,credit_approval,"Yes, Sensitive features",16,,https://www.openml.org/d/29,OpenML,https://doi.org/10.24432/C59012,UCI,"Correlation-based feature selection for machine learning, Feature selection using Joint Mutual Information Maximisation, A Probabilistic Approach to Feature Selection - A Filter Solution",3,1987,Public,https://doi.org/10.1016/S0020-7373(87)80053-6,D: derived from the credit-a (credit-approval) dataset,"B: Seems to be legit, even if we don't know the column names. D: it it highly probable that this dataset has similar issues to credit-g (ethical) since they come from the same domain and around the same time (maybe even from the same study)",Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,finance,Table,690,,Yes,2.0,
Dominika,Default of Credit Card Clients,Yes,credit_card_clients_default,"Yes, Sensitive features",24,,openml.org/search?type=data&id=46919,OpenML,http://archive.ics.uci.edu/dataset/350/default+of+credit+card+clients,UCI,TabArena,1,2009,,https://doi.org/10.1016/j.eswa.2007.12.020,,"Dominika: The target is the risk of default in percentage (default=not paying the debt) and attributes are sex, marriage, and education which seem to be sensitive features. Another issue: ""Because the real probability of default is unknown, this study proposed the novel “Sorting Smoothing Method” to deduce the real default probability"". So it's not a real target.",Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,finance,Table,30000,,Yes,2.0,
Basti,customer_satisfaction_in_airline,Yes,customer_satisfaction_in_airline,"Yes, No FS lit. reference",22,,https://www.openml.org/search?type=data&id=46920,OpenML,https://www.kaggle.com/datasets/yakhyojon/customer-satisfaction-in-airline,Kaggle,TabArena,1,2023,CC0: Public Domain,https://www.kaggle.com/datasets/yakhyojon/customer-satisfaction-in-airline,,Dominika: Kaggle competition author points to Coursera but there's no indication whether the dataset is real. I tried looking for it in the course contents but couldn't find it.,Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,business & marketing,Table,129880,,Yes,2.0,
Lennart,Drug Induced Autoimmunity Prediction,No,drug_induced_autoimmunity_prediction,"Yes, No FS lit. reference",178,,,,https://archive.ics.uci.edu/dataset/1104/drug_induced_autoimmunity_prediction,UCI,,0,2025,CC BY 4.0,https://doi.org/10.1016/j.tox.2025.154064,"This is very new, probably this is why it is nowhere else (on Kaggle or OpenML)","Seems to be a merge of some other datasets from previous papers. Dominika: ""The dataset used in this study was obtained from previous research (Guo et al., 2022), where DIA-positive drugs were compiled by combining compounds from the Side Effect Resource (SIDER) database (Kuhn et al., 2016) with documented autoimmune adverse reactions (incidence rate ≥0.1 %) and additional positive cases from Wu et al.’s study (Wu et al., 2021). "" I think if we make sure we don't use any of the other datasets, we can include this one",Random (IID),Binary Classification,Predictive ML,"Scientific Discovery, Predictive ML",Tabular,medical & healthcare,Table,597,,No,2.0,
Lennart,forest fire,No,forest_fires,"Yes, No FS lit. reference",13,,https://www.openml.org/d/43440,OpenML,,,Synthetic Benchmarks for Scientific Research in Explainable Machine Learning,1,2007,Public,,"D: i can't access the paper. The benchmark that cites this dataset is called ""synthetic [...]"" so that's a bit suspicious although the openml page doesn't idnicate it's artificial. prob need to look at the data.",b: Has several  time columns. D: the preidction task is for burnt area i think the calendar features are ok although it's prob not a perfect iid data.,Random (IID),Regression,Predictive ML,Predictive ML,Tabular,environmental science & climate,Table,517,,Yes,,
Basti,Framingham heart study,No,framingham_heart_study,"Yes, No FS lit. reference, Sensitive features",16,,https://doi.org/10.34740/kaggle/dsv/3493583,Kaggle,https://www.framinghamheartstudy.org/fhs-for-researchers/data-available-overview/,Other,OpenXAI: Towards a Transparent Evaluation of Post hoc Model Explanations,1,2022,Unknown,https://doi.org/10.34740/kaggle/dsv/3493583,,"D: It's only from kaggle, source unknown. D: dunno how to find the original dataset, maybe it's not a problem.",Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,medical & healthcare,Table,4240,,No,2.0,
Basti,GiveMeSomeCredit,Yes,give_me_some_credit,"Yes, No FS lit. reference",12,,https://www.openml.org/d/46929,OpenML,https://www.kaggle.com/competitions/GiveMeSomeCredit/overview,Kaggle,"TabArena, OpenXAI: Towards a Transparent Evaluation of Post hoc Model Explanations, OpenHexAI: An Open-source Framework for Human-centered Evaluation of Explainable Machine Learning, Why do tree-based models still outperform deep learning on typical tabular data?",4,2011,Public,https://www.kaggle.com/competitions/GiveMeSomeCredit/overview,,,Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,finance,Table,150000,,Yes,2.0,
Basti,hazelnut-spread-contaminant-detection-10GHz,Yes,hazelnut_spread_contaminant_detection_10GHz,"Yes, No FS lit. reference",31,,https://www.openml.org/d/46930,OpenML,https://www.openml.org/d/45538,OpenML,TabArena,1,2020,CC BY-SA,https://doi.org/10.1109/ISCAS45731.2020.9181293,,,Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,biology & life sciences,Table,2400,,Yes,2.0,
Lennart,heart,No,heart_disease_cleveland,Yes,14,,https://www.openml.org/d/43398,OpenML,https://archive.ics.uci.edu/dataset/45/heart+disease,UCI,"Conditional likelihood maximisation: a unifying framework for information theoretic feature selection, A Bayesian Framework for Learning Rule Sets for Interpretable Classification, Overcoming the myopia of inductive learning algorithms with RELIEFF, Chi2 Feature Selection and Discretization of Numeric Attributes, Very Simple Classification Rules Perform Well on Most Commonly Used Datasets, Wrappers for feature subset selection, Streaming Feature Selection using Alpha-investing",7,1988,CC0: Public Domain,https://www.semanticscholar.org/paper/a7d714f8f87bfc41351eb5ae1e5472f0ebbe0574,"Dominika: might be interesting to look at the original datasets with 76 features and 5 classes. The UCI desciprtion reads ""his database contains 76 attributes, but all published experiments refer to using a subset of 14 of them.  In particular, the Cleveland database is the only one that has been used by ML researchers to date."" We'd need to look at the original features more closesly.      Basti: Sometimes called heart-disease or cleve","Dominika: it's very old. Contains merged databases. 4 databases: Cleveland, Hungary, Switzerland, and the VA Long Beach. Preprocessed, 75 attributes in original. UCI has the OG csv files
Basti: It is used a lot, maybe we can use it; even if it is not the original one",Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,medical & healthcare,Table,303,,Yes,2.0,
Lennart,heart,No,heart_disease_hungary,Yes,14,,https://www.openml.org/d/43398,OpenML,https://archive.ics.uci.edu/dataset/45/heart+disease,UCI,"Conditional likelihood maximisation: a unifying framework for information theoretic feature selection, A Bayesian Framework for Learning Rule Sets for Interpretable Classification, Overcoming the myopia of inductive learning algorithms with RELIEFF, Chi2 Feature Selection and Discretization of Numeric Attributes, Very Simple Classification Rules Perform Well on Most Commonly Used Datasets, Wrappers for feature subset selection, Streaming Feature Selection using Alpha-investing",7,1988,CC0: Public Domain,https://www.semanticscholar.org/paper/a7d714f8f87bfc41351eb5ae1e5472f0ebbe0574,"Dominika: might be interesting to look at the original datasets with 76 features and 5 classes. The UCI desciprtion reads ""his database contains 76 attributes, but all published experiments refer to using a subset of 14 of them.  In particular, the Cleveland database is the only one that has been used by ML researchers to date."" We'd need to look at the original features more closesly.      Basti: Sometimes called heart-disease or cleve","Dominika: it's very old. Contains merged databases. 4 databases: Cleveland, Hungary, Switzerland, and the VA Long Beach. Preprocessed, 75 attributes in original. UCI has the OG csv files
Basti: It is used a lot, maybe we can use it; even if it is not the original one",Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,medical & healthcare,Table,294,,Yes,2.0,
Lennart,heart,No,heart_disease_switzerland,Yes,13,,https://www.openml.org/d/43398,OpenML,https://archive.ics.uci.edu/dataset/45/heart+disease,UCI,"Conditional likelihood maximisation: a unifying framework for information theoretic feature selection, A Bayesian Framework for Learning Rule Sets for Interpretable Classification, Overcoming the myopia of inductive learning algorithms with RELIEFF, Chi2 Feature Selection and Discretization of Numeric Attributes, Very Simple Classification Rules Perform Well on Most Commonly Used Datasets, Wrappers for feature subset selection, Streaming Feature Selection using Alpha-investing",7,1988,CC0: Public Domain,https://www.semanticscholar.org/paper/a7d714f8f87bfc41351eb5ae1e5472f0ebbe0574,"Dominika: might be interesting to look at the original datasets with 76 features and 5 classes. The UCI desciprtion reads ""his database contains 76 attributes, but all published experiments refer to using a subset of 14 of them.  In particular, the Cleveland database is the only one that has been used by ML researchers to date."" We'd need to look at the original features more closesly.      Basti: Sometimes called heart-disease or cleve","Dominika: it's very old. Contains merged databases. 4 databases: Cleveland, Hungary, Switzerland, and the VA Long Beach. Preprocessed, 75 attributes in original. UCI has the OG csv files
Basti: It is used a lot, maybe we can use it; even if it is not the original one",Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,medical & healthcare,Table,123,,Yes,2.0,
Lennart,heart,No,heart_disease_va_long_beach,Yes,14,,https://www.openml.org/d/43398,OpenML,https://archive.ics.uci.edu/dataset/45/heart+disease,UCI,"Conditional likelihood maximisation: a unifying framework for information theoretic feature selection, A Bayesian Framework for Learning Rule Sets for Interpretable Classification, Overcoming the myopia of inductive learning algorithms with RELIEFF, Chi2 Feature Selection and Discretization of Numeric Attributes, Very Simple Classification Rules Perform Well on Most Commonly Used Datasets, Wrappers for feature subset selection, Streaming Feature Selection using Alpha-investing",7,1988,CC0: Public Domain,https://www.semanticscholar.org/paper/a7d714f8f87bfc41351eb5ae1e5472f0ebbe0574,"Dominika: might be interesting to look at the original datasets with 76 features and 5 classes. The UCI desciprtion reads ""his database contains 76 attributes, but all published experiments refer to using a subset of 14 of them.  In particular, the Cleveland database is the only one that has been used by ML researchers to date."" We'd need to look at the original features more closesly.      Basti: Sometimes called heart-disease or cleve","Dominika: it's very old. Contains merged databases. 4 databases: Cleveland, Hungary, Switzerland, and the VA Long Beach. Preprocessed, 75 attributes in original. UCI has the OG csv files
Basti: It is used a lot, maybe we can use it; even if it is not the original one",Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,medical & healthcare,Table,200,,Yes,2.0,
Basti,heloc,Yes,heloc,"Yes, No FS lit. reference",24,,https://www.openml.org/d/46932,OpenML,https://www.kaggle.com/datasets/averkiyoliabev/home-equity-line-of-creditheloc,Kaggle,"TabArena, OpenXAI: Towards a Transparent Evaluation of Post hoc Model Explanations, OpenHexAI: An Open-source Framework for Human-centered Evaluation of Explainable Machine Learning",3,2021,Public,https://www.kaggle.com/datasets/averkiyoliabev/home-equity-line-of-creditheloc,"D: i wonder what the ""risk estimate"" feature is if we're predicting the risk","Dominika: Kaggle doesn't point to a source of the dataset but this seems to be the right platform. Can't find this particular dataset though, hope it's not synthetic:))",Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,finance,Table,10459,,Yes,2.0,
Lennart,Hepatitis,No,hepatitis_survival_prediction,"Yes, Sensitive features",20,,https://www.openml.org/search?type=data&status=active&id=55,Other,https://archive.ics.uci.edu/dataset/46/hepatitis,UCI,"Overcoming the myopia of inductive learning algorithms with RELIEFF, Very Simple Classification Rules Perform Well on Most Commonly Used Datasets, Comprehensive Decision Tree Models in Bioinformatics",3,1988,CC BY 4.0,,"D:  the dataset consists only of boolean and low order categorical values, with the target being ""die or live"" it might be a bit too trivial.. maybe we could run some simple MLP on it and see how it performs?","D: Is it a relevant/difficult enough task? B: Seems fine to me, we want to predict if a patient is alive based on sickness symptoms, seems good. Is used in the RELIEF Paper, which is cited a lot",Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,medical & healthcare,Table,155,,Yes,2.0,
Dominika,hiva_agnostic,Yes,hiva_agnostic,Yes,1481,,https://www.openml.org/d/1039,OpenML,http://www.agnostic.inf.ethz.ch/datasets.php,Other,"TabArena, Benchmark for filter methods for feature selection in high-dimensional classification data",2,2007,Public,http://www.agnostic.inf.ethz.ch/datasets.php,"D: The original data has 3 classes (active, moderately active, and inactive). We brought it back to a two-class classification problem (active vs. inactive)",,Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,chemistry & material science,Table,4229,,Yes,2.0,
Lennart,Homesite_Quote_Conversion,No,homesite_quote_conversion,"Yes, No FS lit. reference, Sensitive features",296,,https://www.openml.org/d/46636,OpenML,https://www.kaggle.com/competitions/homesite-quote-conversion,Kaggle,,0,2016,Competition license,,"Dominika: looks okay, need to drop the QuoteNumber. The task is about preidcitng whether after seeing that offered price and terms, will the customer purchase the policy",,Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,insurance,Table,260753,,Yes,2.0,
