Checked by,Final Decision ,Name,Source (Paper),Year (Paper),Source (Code),Year (Code),Official Code?,Constraints (open-source code),Source (Benchmark / Survey),Number of appearances,Free Comments,Potential issue,Deterministic?,Robustness,Leakage-safety?,Implemented in TabArena?
Basti,Yes,Original (no FS),,,N.A.,,,None,,0,Used as a baseline,,Yes,Yes,Inductive,Yes
Basti,No,Random FS,,,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.sample.html,,Yes,None,ROOFS: Robust Bio Marker Feature Selection,1,Used as a baseline,,No,Yes,Inductive,No
Basti,Yes,Random FS (fixed size),,,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.sample.html,,Yes,#features,"ROOFS: Robust Bio Marker Feature Selection, Online feature selection and its applications",2,Used as a baseline,,No,Yes,Inductive,Yes
Basti,Too few citations,variance,No source found,,https://scikit-learn.org/stable/modules/generated/sklearn.feature_selection.VarianceThreshold.html,2025,No,,"Benchmark for filter methods for feature selection in high-dimensional classification data, A Survey on Feature Selection",2,,,,,,No
Basti,Yes,t-test,"Peck R, Devore JL. Statistics: the exploration & analysis of data. Cengage learning. 2011; pp.516–9.",2011,https://github.com/jundongl/scikit-feature/blob/master/skfeature/function/statistical_based/t_score.py,2015,,,"Benchmark study of feature selection strategies for multi‑omics data, Feature Selection: A Data Perspective, ROOFS: Robust Bio Marker Feature Selection, A review of feature selection techniques in bioinformatics, A review of feature selection methods with applications",5,,,,,,Yes
Basti,"Too few citations, Variation of another method",low variance,No source found,,,,,,Feature Selection: A Data Perspective,1,,,,,,No
Basti,Yes,ANOVA F-Test,https://doi.org/10.1016/0169-7439(89)80095-4,1989,https://github.com/scikit-learn/scikit-learn/blob/b345ff7cadeb9f80035041e9bdf931cc695413d5/sklearn/feature_selection/_univariate_selection.py#L125,2016,No,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications, A review of feature selection techniques in bioinformatics, Feature Selection for Classification: A Review, Recent advances in feature selection and its applications, A Performance-Driven Benchmark for Feature Selection in Tabular Deep Learning",6,,,,,,Yes
Basti,Too few citations,f_regression,https://scikit-learn.org/stable/modules/generated/sklearn.feature_selection.SelectKBest.html#sklearn.feature_selection.SelectKBest,2025,https://github.com/scikit-learn/scikit-learn/blob/b345ff7cadeb9f80035041e9bdf931cc695413d5/sklearn/feature_selection/_univariate_selection.py#L406,2025,No,,"Robust feature selection using ensemble feature selection techniques, A Performance-Driven Benchmark for Feature Selection in Tabular Deep Learning",2,,,,,,Yes
Basti,"Too few citations, Variation of another method",Kruskal-Wallis,https://doi.org/10.1080/01621459.1952.10483441,2015,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.kruskal.html,2025,No,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications",2,,,,,,No
Basti,"Too few citations, Variation of another method",limma,https://doi.org/10.2202/1544-6115.1027,2004,https://github.com/cran/limma/blob/1b51b3a5295f9feedb72a0df97e9c3e236592464/R/toptable.R#L27,2004,Yes,,Benchmark for filter methods for feature selection in high-dimensional classification data,1,Moderated version of F test stabilizing the estimation of the variance using a linear regression model,,,,,No
Basti,"Too few citations, Variation of another method",sam,https://doi.org/10.1073/pnas.091062498,2001,https://github.com/MikeJSeo/SAM,2018,Yes,,Benchmark for filter methods for feature selection in high-dimensional classification data,1,Moderated version of F test stabilizing the estimation of the variance by comparing the expected values of the statistics based on permutations,,,,,No
Basti,Yes,Fisher score,https://doi.org/10.1111/j.1469-1809.1936.tb02137.x,1936,https://github.com/jundongl/scikit-feature/blob/48cffad4e88ff4b9d2f1c7baffb314d1b3303792/skfeature/function/similarity_based/fisher_score.py,2017,No,"None, #features","A Survey on semi-supervised feature selection methods, Feature Selection: A Data Perspective, ROOFS: Robust Bio Marker Feature Selection, A review of feature selection methods with applications, Semi-supervised Feature Selection via Spectral Analysis, Feature Selection for Classification: A Review",6,"This is the book cited by everyone using Fisher Score, which is based on the original fisher paper: https://cours.etsmtl.ca/sys843/REFS/Books/Duda_Pattern_classification.pdf ",,,,,"Yes, to verify"
Basti,"Too few citations, Variation of another method",Fisher criterion,https://doi.org/10.48550/arXiv.1202.3725,2012,,,,,"A Survey on semi-supervised feature selection methods, Filter methods",2,,,,,,No
Basti,"Too few citations, Variation of another method",Trace Ratio,https://cdn.aaai.org/AAAI/2008/AAAI08-107.pdf,2008,,,,,Feature Selection: A Data Perspective,1,"This is a variation of the Fisher Score. There is also a younger paper of the same authors: https://doi.org/10.1016/j.neucom.2012.05.031 , maybe we can look at this again",,,,,No
Basti,Yes,RF importance,https://doi.org/10.1023/A:1010933404324,2001,https://scikit-learn.org/stable/auto_examples/ensemble/plot_forest_importances.html,2025,No,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications, A Performance-Driven Benchmark for Feature Selection in Tabular Deep Learning, Benchmark study of feature selection strategies for multi‑omics data, ROOFS: Robust Bio Marker Feature Selection, Wrappers for feature subset selection, Robust feature selection using ensemble feature selection techniques, A review of feature selection methods with applications",8,Section 10 in the Breiman Paper describes Feature Selection using Random Forests,,,,,Yes
Basti,"Yes",CART,https://doi.org/10.1201/9781315139470,1984,,,,,"A review of feature selection methods with applications, Filter methods, An Introduction to Variable and Feature Selection, Wrappers for feature subset selection",4,"This is only cited by very old papers 20 years ago, this model is not used very much nowadays. The usage can be seen here: https://doi.org/10.1016/j.chemolab.2004.09.003 ",,,,,Yes
"Basti, Ricardo","Too few citations, Variation of another method",xgb importance,https://doi.org/10.1145/2939672.2939785,2016,,,,,A Performance-Driven Benchmark for Feature Selection in Tabular Deep Learning,1,XGBoost computes feature importance as the average gain across all splits in trees where a feature (see Cherepranova Performance Benchmark),,,,,No
Basti,"TBD, Too few citations, Variation of another method",Boruta,https://doi.org/10.3233/FI-2010-288,2010,https://github.com/scikit-learn-contrib/boruta_py/blob/master/boruta/boruta_py.py,2015,,#features,How Usable is Automated Feature Engineering for Tabular Data,1,,,,,,Yes
Basti,"Too few citations, Variation of another method",Attention Map Importance,https://doi.org/10.48550/arXiv.2106.11959,2021,https://github.com/yandex-research/tabular-dl-revisiting-models,2021,Yes,,A Performance-Driven Benchmark for Feature Selection in Tabular Deep Learning,1,,,,,,No
"Ricardo, Basti",Too few citations,Shapley Values,https://doi.org/10.1515/9781400881970-018,1953,,,,,"Ricardo, Explaining by removing: a unified framework for model explanation",1,"Other sources: Shapley values for feature selection: The good, the bad, and the axioms; 2021: https://doi.org/10.48550/arXiv.2102.10936",,,,,No
"Ricardo, Basti","Too few citations, Variation of another method",SHAP,https://doi.org/10.48550/arXiv.1705.07874,2017,https://github.com/shap/shap,,,,"Ricardo, Explaining by removing: a unified framework for model explanation",1,,,,,,No
Basti,"Too few citations, Variation of another method",Shapicant,"Calzolari, Manuel. ""manuel-calzolari/shapicant: Feature selection package based on SHAP and target permutation, for pandas and Spark."" Accessed: Feb 1 (2020): 2024.",2020,https://github.com/manuel-calzolari/shapicant,,,,ROOFS: Robust Bio Marker Feature Selection,1,"shapicant is a feature selection package based on SHAP [LUN] and target permutation, for pandas and Spark
",,,,,No
"Ricardo, Basti","Too few citations, Variation of another method","SAGE (Shapley
Additive Global importancE)",https://doi.org/10.48550/arXiv.2004.00668,2020,,,,,"Ricardo, Explaining by removing: a unified framework for model explanation",1,Filter & Wrapper Method,,,,,No
Basti,"Too few citations, Variation of another method",KernelSHAP,Practical implementation of SHAP,,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,No
Basti,"Too few citations, Variation of another method",TreeSHAP,,,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,No
Basti,"Too few citations, Variation of another method",LossSHAP,https://doi.org/10.1038/s42256-019-0138-9,2020,,,,,Explaining by removing: a unified framework for model explanation,1,(Marginalize with conditional),,,,,No
Basti,Yes,Impurity,https://doi.org/10.1007/978-3-540-35488-8_4,2006,,,,,"Filter methods, Filter Methods for Feature Selection in Supervised Machine Learning Applications, Benchmark for filter methods for feature selection in high-dimensional classification data",3,"The Duch Paper mentioned as source is the best definition, Bommert and Hopf don't cite anything, I think we can assume they mean the same",,,,,Yes
Basti,"Too few citations, Variation of another method",JIM,,,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,"Too few citations, Variation of another method",Impurity Euclid ,,,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,"Too few citations, Variation of another method",Impurity Hellinger,,,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,Yes,Gini,"Gini, Corrado W. ""Variability and mutability, contribution to the study of statistical distributions and relations."" Studi Economico-Giuridici della R. Universita de Cagliari (1912).",1912,https://github.com/jundongl/scikit-feature/blob/48cffad4e88ff4b9d2f1c7baffb314d1b3303792/skfeature/function/statistical_based/gini_index.py,2015,,,"Filter Methods for Feature Selection in Supervised Machine Learning Applications, Feature Selection: A Data Perspective, ROOFS: Robust Bio Marker Feature Selection, Evaluation of feature selection methods for text classification with small datasets using multiple criteria decision-making methods, A review of feature selection methods with applications, Filter methods",6,"There is a paper publishing the original formula again https://doi.org/10.1007/s10888-011-9188-x, besides there are several definitions in the surveys and benchmarks mentioned. The definitions are all similar to the one provided in the ""Pattern Classification"" book of Duda, the only exception is the Bommert Benchmark, there is another definition. When excluding Bommert, we still have 5 papers with a similar or no definition, so we can use Gini as defined by Duda,  https://doi.org/10.1007/978-3-540-35488-8_4 or https://doi.org/10.1016/j.eswa.2006.04.001 ",,,,,Yes
Basti,"Too few citations, Variation of another method",equal gini,Gini index with equal weights for splits,,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,"Too few citations, Variation of another method",Uniform Gini,Gini index with uniform priors,,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,Yes,Information Gain,https://doi.org/10.1023/A:1022643204877,1986,https://stackoverflow.com/posts/59894908/revisions,2025,No,,"Filter Methods for Feature Selection in Supervised Machine Learning Applications, Benchmark study of feature selection strategies for multi‑omics data, A review of feature selection methods with applications, Feature Selection for Classification: A Review, A review of feature selection methods on synthetic data, Filter methods, A survey of feature selection and feature extraction techniques in machine learning",7,"There are 8 papers and 9 versions of IG, optionally to the mentioned paper, I found https://doi.org/10.1016/j.ipm.2004.08.006, which is a text categorization version of IG, the rest of the references is useless. I think we can use the formula provided by Quinlan in the Decision Tree paper, and exclude the text FS paper, which I moved to the line below now",,,,,Yes
Basti,"No, Too few citations, Variation of another method, Wrong data domain",Information Gain Text,https://doi.org/10.1016/j.ipm.2004.08.006,2006,,,,,Evaluation of feature selection methods for text classification with small datasets using multiple criteria decision-making methods,1,This is the Information Gain Text version,,,,,No
Basti,"Too few citations, Variation of another method",Equal Information Gain,"Hunt, E. B., Marin, J., & Stone, P. J. (1966). Experiments in induction. Academic Press.
",1966,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,Information gain with equal weights for splits ,,,,,No
Basti,"Too few citations, Variation of another method",Uniform Information Gain,Information gain with uniform priors,,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,Yes,MI (Battiti),https://doi.org/10.1109/72.298224,1994,,,,,"Feature Selection: A Data Perspective, A survey on feature selection methods, Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection, Feature selection: a review and comparative study, Evaluation of feature selection methods for text classification with small datasets using multiple criteria decision-making methods, Feature Selection for Classification: A Review",6,"MI, MIM and MIFS are the same methods. Basically all citations can be concluded by two papers, most use Battiti, some use Guyon (see below)",,,,,Yes
Basti,No,MI (Guyon),https://www.jmlr.org/papers/volume3/guyon03a/guyon03a.pdf,2003,,,,,"Feature Selection for Classification: A Review, An Introduction to Variable and Feature Selection",2,This is the Guyon version of MI,,,,,No
Basti,"Too few citations, Variation of another method",MIFS-U,https://doi.org/10.1109/72.977291,2002,,,,,Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection,1,"This is an optimization of MI, only cited once, so we don't use it",,,,,No
Basti,"Too few citations, Variation of another method",AMIFS,https://doi.org/10.1109/IJCNN.2004.1379918,2004,,,,,Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection,1,"This is an optimization of MI, only cited once, so we don't use it",,,,,No
Basti,"Too few citations, Variation of another method",CMIFS,https://doi.org/10.4218/etrij.11.0110.0237,2011,,,,,Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection,1,,,,,,No
Basti,Yes,CMIM,http://www.jmlr.org/papers/volume5/fleuret04a/fleuret04a.pdf,2004,https://github.com/jundongl/scikit-feature/blob/master/skfeature/function/information_theoretical_based/CMIM.py,2017,No,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications, Feature Selection: A Data Perspective, ROOFS: Robust Bio Marker Feature Selection, Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection",5,,,,,,Yes
Basti,Yes,JMI,https://proceedings.neurips.cc/paper_files/paper/1999/file/8c01a75941549a705cf7275e41b21f0d-Paper.pdf,1999,https://github.com/EESI/PyFeast/blob/556ae3823ce8105668cf22bb966acdec1ef954e6/feast.py#L300,,No,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications, Feature Selection: A Data Perspective, ROOFS: Robust Bio Marker Feature Selection, Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection",5,"Everyone cites the Yang paper, some also cite Meyer, which is unrelated IMO (https://doi.org/10.1109/JSTSP.2008.923858)",,,,,Yes
Basti,"No, Too few citations",JMIM,https://doi.org/10.1016/j.eswa.2015.07.007,2015,https://github.com/danielhomola/mifs/blob/f84a05d77a53586ffb475fcd42957d088c6b2906/mifs/mifs.py#L125,,No,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications",2,"Maybe we could include this, the paper has 800 citations ?",,,,,No
Basti,"Too few citations, Variation of another method",NJMIM,https://doi.org/10.1016/j.eswa.2015.07.007,2015,,,,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications",2,Same as JMIM but with symmetrical relevance instead of MI,,,,,No
Basti,Yes,MRMR,https://doi.org/10.1109/TPAMI.2005.159,2005,https://github.com/smazzanti/mrmr,,No,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications, Benchmark study of feature selection strategies for multi‑omics data, Recent advances in feature selection and its applications, Feature Selection: A Data Perspective, A survey on feature selection methods, ROOFS: Robust Bio Marker Feature Selection, Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection, A review of feature selection methods with applications, A review of feature selection techniques in bioinformatics, A review of feature selection methods on synthetic data, Feature Selection for Classification: A Review",12,"Most cited method, always same reference paper, can't be more clear. This is a variable subset selection method based on entropy",,,,,Yes
Basti,"Yes, Variation of another method",CIFE,https://doi.org/10.1007/11744023_6,2006,,,,,"Feature Selection: A Data Perspective, ROOFS: Robust Bio Marker Feature Selection, Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection",3,"Even if it has 3 appearances, it has only 330 citations and I think it is quite closely related to mRMR",,,,,"In Progress, but not sure if we should include it"
Basti,"Yes",DISR,https://doi.org/10.1007/11732242_9,2006,https://github.com/jundongl/scikit-feature/blob/48cffad4e88ff4b9d2f1c7baffb314d1b3303792/skfeature/function/information_theoretical_based/DISR.py,2017,No,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications, Feature Selection: A Data Perspective, ROOFS: Robust Bio Marker Feature Selection, Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection",5,"This is the yet another method based on Entropy and Mutual Information, we don't need it necessarily.  Other implementation: https://github.com/ctlab/ITMO_FS/blob/a2e61e2fabb9dfb34d90a1130fc7f5f162a2c921/ITMO_FS/filters/multivariate/DISRwithMassive.py#L22",,,,,Yes
Basti,Too few citations,Informative Fragment,https://people.eecs.berkeley.edu/~efros/courses/AP06/Papers/vidal-iccv-03.pdf,2003,,,,,Feature Selection: A Data Perspective,1,,,,,,No
Basti,Yes,Gain Ratio,https://link.springer.com/article/10.1007/BF00116251,1986,,,,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications, A review of feature selection methods with applications",3,,,,,,Yes
Basti,"Too few citations, Variation of another method",Gain Ratio Cost,https://doi.org/10.1007/978-3-540-39857-8_30,2003,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
